Make,Model,Miles,Year,Exterior Color,Interior Color,Other Info,Price
Nissan,Frontier,"53,655 miles",2018,Black,Gray,"No accidents, 2 Owners, Fleet use","$20,944 "
GMC,Canyon,"5,243 miles",2020,White,Black,"No accidents, 1 Owner, Personal use","$28,923 "
Chevrolet,Silverado 1500 LD,"27,646 miles",2019,Black,Black,"No accidents, 1 Owner, Fleet use","$33,850 "
Ford,F-150,"8,568 miles",2019,Gray,Black,"No accidents, 1 Owner, Personal use","$40,981 "
Chevrolet,Silverado 1500,"104,670 miles",2011,Red,Black,"No accidents, 2 Owners, Personal use","$19,777 "
Nissan,Frontier,"17,852 miles",2019,White,Gray,"No accidents, 1 Owner, Personal use","$27,995 "
GMC,Sierra 2500HD,"82,962 miles",2014,Black,Black,"No accidents, 1 Owner, Personal use","$41,995 "
Ford,Super Duty F-350,"60,195 miles",2017,White,Unknown,"No accidents, 1 Owner, Personal use","$59,995 "
GMC,Sierra 1500,"73,320 miles",2015,White,Brown,"No accidents, Personal use","$31,995 "
Ram,1500,"95,127 miles",2017,Gray,Gray,"No accidents, 1 Owner, Personal use","$26,927 "
Ford,F-150,"109,962 miles",2014,White,Gray,"No accidents, 1 Owner, Personal use","$19,988 "
Ford,Ranger,"1,892 miles",2019,Silver,Black,"No accidents, 1 Owner, Personal use","$20,000 "
Chevrolet,Silverado 1500,"72,514 miles",2018,Red,Black,"No accidents, 2 Owners, Personal use","$34,836 "
Dodge,Dakota,"161,268 miles",2008,Gray,Unknown,"No accidents, 2 Owners, Personal use","$7,995 "
GMC,Sierra 1500,"149,802 miles",2008,Gray,Gray,"No accidents, 1 Owner, Personal use","$13,499 "
Ram,1500,"82,638 miles",2018,Silver,Gray,"No accidents, 1 Owner, Personal use","$26,988 "
Chevrolet,Silverado 1500,"157,324 miles",2002,Silver,Gray,"No accidents, 1 Owner, Personal use","$9,994 "
Ford,F-150,"58,849 miles",2017,Black,Unknown,"No accidents, Personal use","$32,711 "
Ford,F-150,"92,094 miles",2013,White,Unknown,"No accidents, 1 Owner, Fleet use","$18,995 "
Ram,2500,"119,547 miles",2014,Black,Gray,"No accidents, 1 Owner, Personal use","$24,221 "
Ford,F-150,"27,976 miles",2019,White,Unknown,"No accidents, 1 Owner, Fleet use","$51,984 "
Ford,Super Duty F-250,"10,048 miles",2015,Silver,Gray,"No accidents, 1 Owner, Personal use","$22,990 "
Ford,F-150,"70,526 miles",2010,White,Unknown,"No accidents, 1 Owner, Personal use","$16,337 "
GMC,Sierra 1500,"113,012 miles",2009,Silver,Black,"No accidents, 2 Owners, Fleet use","$14,500 "
GMC,Canyon,"29,321 miles",2018,White,Black,"No accidents, 1 Owner, Personal use","$28,590 "
Ford,Super Duty F-350,"266,712 miles",2008,White,Brown,"No accidents, 5 Owners, Personal use","$11,999 "
Chevrolet,Avalanche,"192,910 miles",2007,Black,Gray,"1 accident, 4 Owners, Personal use","$9,987 "
Ford,F-150,"177,940 miles",2013,White,Gray,"No accidents, 1 Owner, Personal use","$14,970 "
Ford,F-150,"13,655 miles",2019,Blue,Gray,"No accidents, 1 Owner, Personal use","$37,888 "
Ford,F-150,"1,011 miles",2018,Red,Gray,"No accidents, 1 Owner, Personal use","$31,370 "
Honda,Ridgeline,"13,969 miles",2019,Black,Unknown,"No accidents, 1 Owner, Personal use","$34,990 "
Ford,F-150,"44,918 miles",2017,Red,Black,"No accidents, 1 Owner, Personal use","$35,952 "
Chevrolet,Silverado 1500,"45,706 miles",2017,Blue,Black,"No accidents, 1 Owner, Personal use","$41,999 "
Chevrolet,Silverado 1500,"203,164 miles",2013,Blue,Gray,"1 accident, 1 Owner, Personal use","$11,995 "
Toyota,Tacoma,"19,797 miles",2017,White,Gray,"No accidents, 1 Owner, Personal use","$37,997 "
Toyota,Tacoma,"10,462 miles",2019,Gray,Gray,"No accidents, 1 Owner, Personal use","$36,500 "
Ram,1500,"99,615 miles",2016,Black,Gray,"No accidents, Personal use","$23,988 "
Ford,F-150,"80,066 miles",2017,Red,Gray,"No accidents, 1 Owner, Personal use","$30,900 "
Chevrolet,Silverado 1500,"11,350 miles",2020,Silver,Black,"No accidents, 1 Owner, Personal use","$37,797 "
Ram,3500,"154,268 miles",2014,White,Gray,"No accidents, 1 Owner, Personal use","$24,900 "
Ford,F-150,"47,700 miles",2017,Silver,Black,"No accidents, 1 Owner, Personal use","$34,880 "
